Index,Time,rps
0,0,6.066666666666666
1,15000,5.533333333333333
2,30000,5.355555555555555
3,45000,5.266666666666667
4,60000,5.0
5,75000,5.0
6,90000,5.0
7,105000,5.0
8,120000,5.0
9,135000,5.0
10,150000,5.0
11,165000,5.0
12,180000,5.0
13,195000,5.0
14,210000,5.0
15,225000,5.0
16,240000,5.0
17,255000,5.0
18,270000,5.0
19,285000,4.033333333333333
20,300000,2.783333333333333
21,315000,1.5333333333333334
22,330000,0.2833333333333333
23,345000,0.0
24,360000,3.4
25,375000,8.316666666666666
26,390000,9.566666666666666
27,405000,10.816666666666666
28,420000,8.666666666666666
29,435000,5.0
30,450000,5.0
31,465000,4.05
32,480000,2.8
33,495000,1.55
34,510000,0.3
35,525000,0.0
36,540000,0.4499999999999999
37,555000,4.883333333333334
38,570000,9.7
39,585000,10.95
40,600000,11.75
41,615000,8.566666666666666
42,630000,5.0
43,645000,4.066666666666666
44,660000,2.816666666666667
45,675000,1.5666666666666669
46,690000,0.3166666666666666
47,705000,0.0
48,720000,3.033333333333333
49,735000,8.3
50,750000,9.683333333333334
51,765000,10.933333333333334
52,780000,9.15
53,795000,5.133333333333334
54,810000,5.0
55,825000,4.083333333333333
56,840000,2.833333333333333
57,855000,1.5833333333333333
58,870000,0.3333333333333333
59,885000,0.0
60,900000,3.033333333333333
61,915000,8.416666666666668
62,930000,9.666666666666668
63,945000,10.916666666666668
64,960000,9.133333333333333
65,975000,9.133333333333333
