name,lower-whisker,lower-quartile,median,upper-quartile,upper-whisker
gpac - 3x2 peers,38781016.0,48254936.0,55760136.0,65645312.0,78159768.0
gpac - 4x2 peers,37379824.0,50823138.0,61365372.0,65487828.0,78269368.0
gpac - 5x2 peers,35876248.0,51650178.0,61453728.0,70122020.0,96586192.0
gpac - 6x2 peers,36488200.0,48892706.0,60150016.0,69431536.0,83328544.0
gpac - 10x2 peers,39217584.0,55065760.0,63820008.0,70205502.0,89186072.0
gpac - 20x2 peers,51609136.0,69049178.0,86743448.0,106853112.0,147315776.0
raft - 3x1 peers,25394240.0,28179146.0,32406656.0,35964920.0,40470936.0
raft - 4x1 peers,25815128.0,30417634.0,33361132.0,37862946.0,41596816.0
raft - 5x1 peers,25553224.0,29553990.0,33571572.0,37021182.0,40404248.0
raft - 6x1 peers,25950376.0,30631768.0,32592904.0,37451864.0,41607216.0
raft - 10x1 peers,28303768.0,34347120.0,37144560.0,40334776.0,43423032.0
raft - 20x1 peers,29473560.0,35468272.0,42429952.0,44530776.0,52033176.0
2pc - 3x2 peers,27767808.0,33296358.0,37004836.0,40504500.0,49477312.0
2pc - 4x2 peers,26420912.0,33045488.0,36911720.0,40985782.0,51646232.0
2pc - 5x2 peers,28595928.0,32708760.0,37139428.0,42368074.0,54174224.0
2pc - 6x2 peers,27852632.0,36237522.0,40082392.0,44979558.0,55689440.0
2pc - 10x2 peers,27443400.0,37998478.0,42979420.0,48225364.0,57188568.0
2pc - 20x2 peers,27593232.0,37524624.0,43392064.0,49430108.0,62994224.0
