name,lower-whisker,lower-quartile,median,upper-quartile,upper-whisker
gpac - 3x2 peers,28849864.0,36802578.0,41650288.0,46728122.0,61235848.0
gpac - 4x2 peers,27427768.0,36361666.0,40984896.0,47178306.0,60587592.0
gpac - 5x2 peers,26257320.0,35051494.0,39724556.0,43689598.0,56429592.0
gpac - 6x2 peers,25704608.0,36101828.0,40546536.0,46055020.0,60598008.0
gpac - 10x2 peers,25998336.0,35614990.0,40234284.0,45253676.0,59240856.0
gpac - 20x2 peers,27420536.0,40110574.0,45829400.0,52672110.0,71394952.0
raft - 3x1 peers,23553088.0,26792554.0,30359324.0,33119852.0,37654224.0
raft - 4x1 peers,23759760.0,26786136.0,28962776.0,31851746.0,34485272.0
raft - 5x1 peers,23115632.0,26930710.0,29623420.0,32438898.0,37681624.0
raft - 6x1 peers,23942384.0,26693632.0,29551240.0,32754600.0,39484024.0
raft - 10x1 peers,21797048.0,26897496.0,29743528.0,32491504.0,40410944.0
raft - 20x1 peers,21472744.0,27190352.0,30181008.0,33129068.0,39996608.0
2pc - 3x2 peers,23441440.0,28764500.0,32352504.0,35984008.0,46153952.0
2pc - 4x2 peers,23991344.0,28964646.0,32114584.0,35484100.0,44680664.0
2pc - 5x2 peers,22917672.0,28093470.0,31661976.0,35152694.0,41882592.0
2pc - 6x2 peers,22775752.0,28533342.0,32020980.0,35763228.0,45613952.0
2pc - 10x2 peers,22190152.0,28520274.0,32126068.0,36418554.0,48090320.0
2pc - 20x2 peers,22252064.0,27608856.0,30994196.0,34388114.0,42088880.0
