protocol	number_of_peers	lower_whisker	lower_quartile	median	upper_quartile	upper_whisker
gpac	3x2	0.0223422247456395	0.0227744953281424	0.0230909499955492	0.0246662737564628	0.0262968025503355
gpac	4x2	0.0206455447221697	0.0209455683071041	0.0217192135745104	0.0227394157626183	0.0246543418042376
gpac	5x2	0.0282613337075562	0.0288022154064685	0.0298827489361702	0.0308234038851351	0.0327288267392232
gpac	6x2	0.028864613901284	0.0301067456521739	0.0344729003095003	0.0361559811320754	0.0402251767317159
gpac	10x2	0.0402014582678711	0.04106900865912835	0.042318667067945945	0.04350087245713812	0.0456511211323392
gpac	20x2	0.0873828603153153	0.0906680287645687	0.0938995666442953	0.0971823806383526	0.1063806058672562
raft	3x1	0.02028676	0.020589347499999924	0.020865868333333253	0.021586891666666625	0.0227529666666666
raft	4x1	0.0135537633333333	0.013970335833333274	0.01407857166666665	0.014454713333333275	0.01508044
raft	5x1	0.0141109533333333	0.014287552499999974	0.01454884999999995	0.015115065833333299	0.0162659166666666
raft	6x1	0.0266483199999999	0.0272457399999999	0.0277961766666666	0.0288985	0.0307950333333333
raft	10x1	0.0294307099999999	0.0297965866666667	0.0301361	0.0309317599999999	0.0318773033333333
raft	20x1	0.0515762833333333	0.05208313	0.0524336933333332	0.0527164266666666	0.05364704
2pc	3x2	0.080820632422468	0.0831867021675507	0.0844649075497598	0.0854969639211238	0.0885998389838231
2pc	4x2	0.0984034034984277	0.1015791259620547	0.104936733318691	0.10704016518847	0.1131093855640358
2pc	5x2	0.0889802876206072	0.0913257653662305	0.0919138294954663	0.0929180356512141	0.0946342436327654
2pc	6x2	0.126796730135524	0.1285221252900475	0.1322681206733764	0.13406608924675315	0.1386754584408324
2pc	10x2	0.1494613154276758	0.15280080477483884	0.15457302879405932	0.15806187598559943	0.1628934960158455
2pc	20x2	0.2423088145852465	0.24407313529612207	0.24563213169361708	0.24713468962007432	0.2495864469832736
