name,lower-whisker,lower-quartile,median,upper-quartile,upper-whisker
gpac - 3x2 peers,4.9833333333333325,4.983333333333333,5.0,5.016666666666667,5.016666666666668
gpac - 4x2 peers,4.816666666666666,4.933333333333334,5.0,5.066666666666666,5.166666666666667
gpac - 5x2 peers,4.85,4.933333333333334,5.0,5.05,5.133333333333333
gpac - 6x2 peers,4.833333333333333,4.966666666666667,5.033333333333333,5.066666666666666,5.166666666666666
gpac - 10x2 peers,4.699999999999999,4.883333333333333,4.975,5.066666666666666,5.216666666666667
gpac - 20x2 peers,4.75,4.9,4.983333333333333,5.016666666666668,5.116666666666666
raft - 3x1 peers,5.0,5.0,5.0,5.0,5.0
raft - 4x1 peers,5.0,5.0,5.0,5.0,5.0
raft - 5x1 peers,5.0,5.0,5.0,5.0,5.0
raft - 6x1 peers,5.0,5.0,5.0,5.0,5.0
raft - 10x1 peers,5.0,5.0,5.0,5.0,5.0
raft - 20x1 peers,5.0,5.0,5.0,5.0,5.0
2pc - 3x2 peers,4.883333333333333,4.949999999999999,5.0,5.066666666666666,5.183333333333334
2pc - 4x2 peers,4.9,4.966666666666667,5.0,5.016666666666668,5.083333333333334
2pc - 5x2 peers,4.8,4.933333333333334,5.016666666666667,5.083333333333333,5.183333333333334
2pc - 6x2 peers,4.766666666666667,4.933333333333334,5.016666666666667,5.066666666666666,5.15
2pc - 10x2 peers,4.933333333333334,4.983333333333333,5.0,5.029166666666667,5.083333333333334
2pc - 20x2 peers,3.7666666666666666,3.8166666666666655,3.833333333333333,3.866666666666666,3.9333333333333336
