name,lower-whisker,lower-quartile,median,upper-quartile,upper-whisker
gpac - 3x2 peers,0.1165351544696965,0.13694475770262626,0.16000466293287285,0.18244505712173936,0.204449897416256
gpac - 4x2 peers,0.1315764470253839,0.15406354157309934,0.1661354618724849,0.18240779913465371,0.2239108958640574
gpac - 5x2 peers,0.1908101401482593,0.22877682830999743,0.24441633785239805,0.2642824326563032,0.3112592193868768
gpac - 6x2 peers,0.2079427419734995,0.24491766338004714,0.29212326700046676,0.3199480147103485,0.36287497404305
gpac - 10x2 peers,0.3056085190494917,0.3374428349381593,0.35728273770162383,0.3822484850738477,0.4204992762134373
gpac - 20x2 peers,0.5757493385514643,0.653215154934248,0.678078464557214,0.7284942405266611,0.8105291664971064
raft - 3x1 peers,0.1014680907457715,0.11647312914756161,0.1290720651407994,0.1510801636929659,0.192790350025494
raft - 4x1 peers,0.1602394277846183,0.18094039702505413,0.18826242377526944,0.20980274599224324,0.2448545442558825
raft - 5x1 peers,0.1970416938267281,0.20613813339819564,0.22182215248182763,0.24058439635622564,0.2811889891655852
raft - 6x1 peers,0.2075455555080215,0.218847573067402,0.232993311736465,0.2451749003088825,0.2643468980720291
raft - 10x1 peers,0.2870800852223233,0.301454382032553,0.310650090881595,0.3252884804709332,0.3302974219954886
raft - 20x1 peers,0.5898479191660085,0.6001037045285694,0.6096466169021889,0.621086507478893,0.6314773335257986
2pc - 3x2 peers,0.1927589427041741,0.21021817937072879,0.22539337879803814,0.24021491007114285,0.2805545932436983
2pc - 4x2 peers,0.2216991386510636,0.23289021931750611,0.2441794048308072,0.2586788383396556,0.2861470879010448
2pc - 5x2 peers,0.2741501997041068,0.29927331003070873,0.3191840255527682,0.3500908948708412,0.4129022453580107
2pc - 6x2 peers,0.3217178679846714,0.3325709684917665,0.3391634625149731,0.34516203514638005,0.3616526169689077
2pc - 10x2 peers,0.5416951547605614,0.5524152631456987,0.556075776998867,0.5658133552744709,0.5852549193400922
2pc - 20x2 peers,0.8480974229157456,0.88409088131106,0.904081482007927,0.9337665592113856,1.0039431909000054
