name,lower-whisker,lower-quartile,median,upper-quartile,upper-whisker
gpac - 3x2 peers,0.0661155203491081,0.10004448297750512,0.12064133647348504,0.15135693817456036,0.2075336204567541
gpac - 4x2 peers,0.0624229564231586,0.09151115524514848,0.11363402377087115,0.1539107374575028,0.2381236926633426
gpac - 5x2 peers,0.0132691587430762,0.08369047680697994,0.1008097064386673,0.1474559330299413,0.2419854666578957
gpac - 6x2 peers,0.0123616397949568,0.09192192043022755,0.11899286093351444,0.19203862667451133,0.3393935168764319
gpac - 10x2 peers,0.0105518726563255,0.0894129589385514,0.11418137617507801,0.15189585420943805,0.2442598458197905
gpac - 20x2 peers,0.0287868659264682,0.10773288269596942,0.13251926473521708,0.16617714643480302,0.2505579808675718
raft - 3x1 peers,0.0568118772825086,0.10361681517790855,0.11862654567980235,0.13818027328881644,0.1888745854524001
raft - 4x1 peers,0.048692636308884,0.060865959988148075,0.09060258079959255,0.15458496286346496,0.2843578608731764
raft - 5x1 peers,0.0098521770039092,0.0642126550381461,0.08349150980964445,0.11891335622047992,0.199517878474817
raft - 6x1 peers,0.0467121874842121,0.0613157307004366,0.0909342262876099,0.12870930770660338,0.227617114223626
raft - 10x1 peers,0.0417933728350995,0.0622627990897973,0.08152765119199334,0.10662379856380443,0.1596831088449709
raft - 20x1 peers,0.0116858469175404,0.06302365816545492,0.0779373792892257,0.10433074280115784,0.1631427293852418
2pc - 3x2 peers,0.0842774151170155,0.10300783581697995,0.1704678616781686,0.21766821351596163,0.2971265984304852
2pc - 4x2 peers,0.0324436114366222,0.09708180591534996,0.1497685822612816,0.22721844279788572,0.2861470879010448
2pc - 5x2 peers,0.0766038145036677,0.09065589711360532,0.11609996490400505,0.19675525269474609,0.3552742735843758
2pc - 6x2 peers,0.0159775826737167,0.09393238086763485,0.11194889659151605,0.17353162496346183,0.2601666733326174
2pc - 10x2 peers,0.0786375598694714,0.09208630606978413,0.09990315766307115,0.11699173670550403,0.1542246501487854
2pc - 20x2 peers,0.0610619063144972,0.07689125056689575,0.08674362959721224,0.09819403248894805,0.1300627732142951
