Index,Time,rps
0,0.0,5.0
1,5.0,5.0
2,10.0,5.0
3,15.0,5.0
4,20.0,5.0
5,25.0,5.0
6,30.0,5.0
7,35.0,5.0
8,40.0,5.05
9,45.0,5.0
10,50.0,5.0
11,55.0,5.0
12,60.0,4.95
13,65.0,5.0
14,70.0,5.0
15,75.0,5.0
16,80.0,5.0
17,85.0,5.0
18,90.0,5.0
19,95.0,5.0
20,100.0,5.0
21,105.0,5.05
22,110.0,4.95
23,115.0,3.7
24,120.0,2.45
25,125.0,1.15
26,130.0,0.0
27,135.0,0.0
28,140.0,0.0
29,145.0,0.0
30,150.0,0.0
31,155.0,0.0
32,160.0,0.0
33,165.0,0.0
34,170.0,0.0
35,175.0,0.0
36,180.0,0.0
37,185.0,0.0
38,190.0,0.0
39,195.0,0.0
40,200.0,0.0
41,205.0,0.05
42,210.0,1.4
43,215.0,1.85
44,220.0,4.4
45,225.0,7.5
46,230.0,10.9
47,235.0,12.3
48,240.0,12.6
49,245.0,13.2
50,250.0,13.45
51,255.0,14.7
52,260.0,16.8
53,265.0,17.5
54,270.0,15.1
55,275.0,11.9
56,280.0,8.2
57,285.0,5.0
58,290.0,5.05
59,295.0,5.0
60,300.0,5.0
61,305.0,5.0
62,310.0,4.95
63,315.0,5.0
64,320.0,5.05
65,325.0,5.05
66,330.0,5.05
67,335.0,5.05
68,340.0,4.95
69,345.0,4.95
70,350.0,4.95
71,355.0,4.95
