Index,Time,rps
0,0.0,5.0
1,5.0,5.0
2,10.0,5.0
3,15.0,5.0
4,20.0,5.0
5,25.0,5.0
6,30.0,5.0
7,35.0,5.0
8,40.0,5.0
9,45.0,5.0
10,50.0,5.0
11,55.0,5.0
12,60.0,5.0
13,65.0,5.0
14,70.0,5.0
15,75.0,5.0
16,80.0,5.0
17,85.0,5.0
18,90.0,5.0
19,95.0,5.0
20,100.0,5.0
21,105.0,5.0
22,110.0,5.0
23,115.0,5.0
24,120.0,3.95
25,125.0,2.7
26,130.0,1.45
27,135.0,0.2
28,140.0,0.0
29,145.0,0.0
30,150.0,0.0
31,155.0,0.0
32,160.0,0.0
33,165.0,0.0
34,170.0,0.0
35,175.0,0.0
36,180.0,0.0
37,185.0,0.0
38,190.0,0.0
39,195.0,0.0
40,200.0,0.0
41,205.0,0.0
42,210.0,0.0
43,215.0,0.05
44,220.0,0.05
45,225.0,0.1
46,230.0,4.3
47,235.0,8.1
48,240.0,13.0
49,245.0,19.15
50,250.0,20.9
51,255.0,24.1
52,260.0,22.4
53,265.0,17.45
54,270.0,12.75
55,275.0,6.95
56,280.0,5.0
57,285.0,5.0
58,290.0,5.0
59,295.0,5.0
60,300.0,5.0
61,305.0,5.0
62,310.0,5.0
63,315.0,5.0
64,320.0,5.0
65,325.0,5.0
66,330.0,5.0
67,335.0,5.0
68,340.0,5.0
69,345.0,5.0
70,350.0,5.0
71,355.0,5.0
