Index,Time,rps
0,0.0,5.0
1,5.0,5.05
2,10.0,5.0
3,15.0,5.0
4,20.0,5.0
5,25.0,5.0
6,30.0,5.0
7,35.0,5.0
8,40.0,5.0
9,45.0,5.0
10,50.0,5.0
11,55.0,5.0
12,60.0,5.0
13,65.0,5.0
14,70.0,5.0
15,75.0,5.0
16,80.0,5.0
17,85.0,5.0
18,90.0,5.0
19,95.0,5.0
20,100.0,5.0
21,105.0,5.0
22,110.0,5.0
23,115.0,5.0
24,120.0,5.0
25,125.0,5.0
26,130.0,5.0
27,135.0,4.95
28,140.0,4.95
29,145.0,4.95
30,150.0,4.95
31,155.0,5.0
32,160.0,5.0
33,165.0,5.0
34,170.0,5.0
35,175.0,5.0
36,180.0,5.0
37,185.0,5.0
38,190.0,5.0
39,195.0,5.0
40,200.0,5.0
41,205.0,0.0
42,210.0,0.0
43,215.0,0.0
44,220.0,0.0
45,225.0,0.0
46,230.0,0.0
47,235.0,0.0
48,240.0,0.0
49,245.0,0.0
50,250.0,0.0
51,255.0,0.0
52,260.0,0.0
53,265.0,0.0
54,270.0,0.0
55,275.0,0.0
56,280.0,0.0
57,285.0,0.45
58,290.0,8.0
59,295.0,9.2
60,300.0,9.666666666666666
61,305.0,10.3
62,310.0,10.55
63,315.0,11.7
64,320.0,14.0
65,325.0,16.3
66,330.0,16.6
67,335.0,14.1
68,340.0,10.4
69,345.0,6.3
70,350.0,5.0
71,355.0,5.0
72,360.0,5.0
73,365.0,5.0
74,370.0,5.0
75,375.0,5.0
76,380.0,5.0
77,385.0,5.0
78,390.0,5.0
79,395.0,5.0
80,400.0,5.0
81,405.0,5.0
82,410.0,5.0
83,415.0,5.0
84,420.0,5.0
85,425.0,5.0
86,430.0,5.0
87,435.0,5.0
88,440.0,5.0
89,445.0,5.0
90,450.0,5.0
91,455.0,5.0
92,460.0,5.0
93,465.0,5.0
94,470.0,5.0
95,475.0,5.0
96,480.0,5.0
