name,lower-whisker,lower-quartile,median,upper-quartile,upper-whisker
gpac - 3x2 peers,55148.87476378629,60630.03364698204,62564.414667728226,64856.228308316226,70844.24262673511
gpac - 4x2 peers,73120.61492406997,80651.56716006149,83307.75917051733,88333.80740328893,96881.12942644687
gpac - 5x2 peers,94569.52318352368,102769.44557083143,108164.90526985339,112153.15135212292,125223.8514751966
gpac - 6x2 peers,113503.61982550584,124824.8003239357,132013.24931974977,137845.3721197146,150249.3094141927
gpac - 10x2 peers,188559.6319982049,210777.84303771058,216109.84808989728,225903.16309545623,241829.66976441137
gpac - 20x2 peers,384341.2312359433,414543.5387716646,433041.5191353713,459289.32030027837,511519.3983307346
raft - 3x1 peers,13264.23726772886,13385.523468104659,13444.96901235747,13510.013880068142,13601.323138658425
raft - 4x1 peers,20302.296991264964,20443.845840863836,20511.70961760037,20585.450406943084,20681.844380403458
raft - 5x1 peers,25057.57160078148,25254.76591302224,25366.139037770998,25416.440082000037,25461.45307209857
raft - 6x1 peers,27686.11829481939,27823.11615134981,27906.299236005823,28036.93356887556,28242.07016986823
raft - 10x1 peers,57395.69090532422,57576.66203973113,57856.33185908853,58158.00667859118,58874.29073470733
raft - 20x1 peers,135772.58122099252,137000.39128733534,137275.76528085064,137848.26932195353,138653.33145909474
2pc - 3x2 peers,28839.207555862704,29076.30445147604,29159.619204053786,29259.53538236976,29488.50940461038
2pc - 4x2 peers,37595.27730091441,37878.63737027979,37990.32757285923,38121.053737942246,38309.0022611645
2pc - 5x2 peers,46299.77699904428,46825.28342113801,47529.64443821261,48347.10711937572,48828.44634119421
2pc - 6x2 peers,55177.14178238927,55735.732054551234,55972.14116123713,56145.5754938959,56754.04334910331
2pc - 10x2 peers,109959.89758551908,111430.37284039469,112251.71655794053,113261.20095208783,114581.15860330936
2pc - 20x2 peers,196364.374586136,201282.05666795425,202953.35135628522,204881.32399010874,208668.64451476795
